label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels	most probable cluster
5589	201.75999450683597	104.31999969482422	98.20000457763672	199.68	99.36	96.5	205.84	106.4	100.8	107372	clade3.1sub14
5590	203.3600006103516	91.83999633789062	102.8000030517578	200.32	85.68	99.0	205.6	93.6	104.8	104838	clade9sub7
5591	203.3600006103516	99.5199966430664	102.5999984741211	201.04	93.36	99.7	205.84	101.84	103.7	100425	clade3.1sub14
5592	206.3999938964844	92.47999572753906	102.5999984741211	204.96	86.72	99.0	208.56	94.24	105.7	100806	clade9sub7
5593	214.3999938964844	95.83999633789062	97.20000457763672	211.76	94.16	95.3	220.32	97.76	101.1	98703	clade9sub7
5594	127.5199966430664	121.43999481201172	100.0	124.32	119.44	98.0	133.44	123.76	102.7	97648	clade11sub11subsub1
5595	130.08000183105472	118.23999786376952	99.4000015258789	126.48	116.08	97.2	133.68	120.4	101.8	107226	clade11sub20subsub0-1-2-4-6
5596	128.31999206542972	124.47999572753906	98.0	125.36	121.44	95.8	133.04	128.48	101.0	127382	clade11sub11subsub1
5597	132.63999938964844	115.36000061035156	99.0	128.88	113.36	96.0	136.24	117.36	101.6	90130	clade11sub11subsub1
5598	135.67999267578122	121.1199951171875	101.20000457763672	131.28	119.12	97.2	137.36	123.12	103.5	90346	clade11sub11subsub1
5599	136.0	118.23999786376952	98.4000015258789	132.4	116.56	95.9	140.64	120.24	100.7	106149	clade11sub11subsub1
5600	135.03999328613278	124.0	98.8000030517578	132.64	122.08	96.9	138.0	127.04	102.8	84092	clade11sub11subsub1
5601	134.72000122070312	111.36000061035156	99.8000030517578	129.68	107.76	97.4	137.68	115.2	104.2	116778	clade11sub20subsub0-1-2-4-6
5602	136.16000366210938	114.87999725341795	97.4000015258789	133.84	112.48	95.1	140.96	116.88	100.3	104909	clade11sub11subsub1
5603	139.83999633789062	124.0	99.20000457763672	136.4	121.52	97.0	143.04	126.32	102.1	104290	clade11sub11subsub1
5604	140.63999938964844	111.68000030517578	99.4000015258789	136.48	108.4	96.9	144.56	114.8	102.1	103360	clade11sub8subsub1-4
5605	141.75999450683594	120.0	99.5999984741211	137.68	117.12	97.0	144.32	122.4	101.9	102994	clade11sub11subsub1
5606	140.16000366210938	108.31999969482422	97.4000015258789	138.48	106.32	95.8	146.56	113.44	101.2	103187	clade11sub8subsub1-4
5607	142.72000122070312	105.43999481201172	99.20000457763672	140.16	103.04	97.0	148.56	107.36	102.1	85702	clade11sub11subsub1
5608	148.47999572753906	117.27999877929688	97.5999984741211	143.36	115.36	95.2	152.16	119.84	99.9	120000	clade11sub11subsub1
5609	146.0800018310547	108.63999938964844	98.0	143.76	106.0	95.8	150.88	110.64	101.5	94164	clade11sub11subsub1
5610	147.1999969482422	114.72000122070312	101.4000015258789	144.24	112.4	98.7	150.96	117.28	104.0	110118	clade11sub11subsub1
5611	149.27999877929688	110.87999725341795	99.20000457763672	146.32	109.04	96.8	153.92000000000004	114.56	101.6	95085	clade11sub8subsub1-4
5612	152.8000030517578	114.72000122070312	100.0	150.16	111.92	98.0	160.8	117.2	103.3	108102	clade11sub11subsub1
5613	154.87998962402344	109.5999984741211	102.20000457763672	150.56	106.48	99.0	157.44	112.0	104.9	105372	clade11sub11subsub2-3
5614	156.47999572753906	111.36000061035156	98.8000030517578	154.32	107.84	96.2	160.08	113.6	101.3	97454	clade11sub17subsub6
5615	163.0399932861328	110.55999755859376	100.4000015258789	156.32	108.64	97.8	165.76	114.08	102.6	97071	clade11sub35
5616	165.1199951171875	113.75999450683594	99.20000457763672	160.56	111.2	96.6	167.20000000000005	115.84	101.4	91676	clade11sub6subsub8
5617	172.3199920654297	119.5199966430664	99.5999984741211	166.16	116.08	97.8	174.72	121.84	102.1	111203	clade11sub27subsub8
5618	168.16000366210938	114.23999786376952	101.0	165.68	110.72	98.5	170.24	117.04	103.4	85470	clade11sub27subsub8
5619	169.59999084472656	116.63999938964844	97.4000015258789	166.88	112.72	95.0	173.36	118.96	98.8	92082	clade11sub27subsub8
5620	171.67999267578125	123.04000091552734	97.5999984741211	167.28	117.68	95.2	174.72	125.6	99.4	133088	clade11sub11subsub2-3
5621	172.3199920654297	105.43999481201172	104.20000457763672	169.28	103.2	97.8	174.16	108.16	106.3	109836	clade1sub12
5622	172.63999938964844	126.07999420166016	100.4000015258789	169.92000000000004	120.88	97.7	175.84	128.32	102.5	104027	clade11sub11subsub2-3
5623	177.59999084472656	114.23999786376952	99.20000457763672	174.24	110.8	97.3	179.76	118.8	102.6	142890	zero
5624	183.1999969482422	105.1199951171875	102.5999984741211	179.04	100.88	99.4	185.28	106.72	104.8	114124	zero
5625	181.59999084472656	112.31999969482422	99.4000015258789	180.32	106.88	96.4	185.6	114.48	101.6	101086	clade1sub11
5626	192.0	106.55999755859376	96.8000030517578	186.96	103.44	95.4	193.28	111.44	101.4	90805	clade11sub38
5627	198.87998962402344	105.27999877929688	102.5999984741211	196.48	100.32	99.3	201.44	107.36	104.9	111351	clade3.1sub14
5628	197.1199951171875	126.7199935913086	100.0	193.2	120.32	98.7	200.64	129.68	102.1	88067	clade5sub7
5629	204.9599914550781	112.31999969482422	97.0	200.56	108.4	95.0	207.76	116.16	98.7	82359	nocladesub3
5630	203.0399932861328	124.79999542236328	99.5999984741211	199.2	122.08	97.1	206.56	128.72	102.8	141967	zero
5631	207.83999633789062	118.7199935913086	98.0	204.24	115.68	96.0	210.96	121.92	100.1	86488	clade11sub38
5632	207.0399932861328	122.23999786376952	102.5999984741211	204.08	119.44	99.7	210.88	125.04	107.9	197327	zero
5633	211.1999969482422	112.95999908447266	101.4000015258789	206.96	109.52	98.2	213.84	115.28	103.6	104502	clade11sub38
5634	212.79998779296875	115.36000061035156	99.0	209.44	113.28	96.8	215.76	118.56	102.0	73192	zero
5635	213.9199981689453	122.23999786376952	101.5999984741211	210.56	117.44	98.7	216.8	124.88	104.5	106833	clade1sub12
5636	215.1999969482422	109.27999877929688	100.4000015258789	213.28	104.64	96.9	220.8	111.84	103.0	86818	clade9sub7
5637	221.27999877929688	113.27999877929688	100.20000457763672	217.84	105.6	96.6	223.44	119.2	104.5	194913	clade9sub7
5638	111.1999969482422	144.16000366210938	105.0	108.96	139.92000000000002	99.3	114.56	146.24	107.8	133820	clade11sub23
5639	116.0	142.239990234375	101.0	112.72	138.48	98.5	118.0	145.04	103.7	90650	clade11sub11subsub1
5640	117.1199951171875	138.72000122070312	100.5999984741211	115.12	136.08	98.1	121.12	143.04	103.5	110431	clade11sub11subsub1
5641	121.1199951171875	128.31999206542972	98.20000457763672	116.4	125.2	95.7	124.24	133.28	102.9	115968	clade11sub11subsub1
5642	120.79999542236328	133.27999877929688	99.0	116.88	131.36	96.7	123.84	136.48	101.1	99893	clade11sub11subsub1
5643	119.36000061035156	144.47999572753906	98.8000030517578	116.88	142.24	96.7	123.12	148.96	101.9	102957	clade11sub11subsub1
5644	121.1199951171875	138.55999755859378	98.5999984741211	119.04	136.56	96.4	124.96	141.68	101.9	95891	clade11sub11subsub1
5645	124.79999542236328	128.31999206542972	100.0	122.24	125.92	97.7	128.4	132.48	102.7	89249	clade11sub11subsub1
5646	124.79999542236328	133.1199951171875	100.8000030517578	121.6	130.24	98.3	127.52	136.64	104.5	127441	clade11sub11subsub1
5647	125.1199951171875	143.52000427246094	100.8000030517578	123.12	138.96	98.8	128.56	146.56	102.8	104501	clade11sub11subsub1
5648	125.91999816894531	137.91999816894528	103.5999984741211	123.36	135.2	99.7	128.08	142.56	106.9	113470	clade11sub11subsub1
5649	127.83999633789062	144.63999938964844	97.4000015258789	125.6	140.08	95.1	130.8	147.76	99.6	120192	clade11sub11subsub1
5650	128.31999206542972	134.87998962402344	98.5999984741211	126.24	132.08	96.6	130.56	139.84	102.1	102918	clade11sub11subsub1
5651	130.39999389648438	131.36000061035156	99.20000457763672	128.32	128.96	97.5	133.6	137.52	101.8	102765	clade11sub11subsub1
5652	132.16000366210938	125.75999450683594	101.8000030517578	127.68	123.68	99.4	134.72	129.68	104.5	119027	clade11sub11subsub1
5653	133.59999084472656	130.72000122070312	97.5999984741211	131.76	128.16	95.0	136.96	134.72	100.6	97107	clade11sub11subsub1
5654	139.83999633789062	137.91999816894528	97.8000030517578	136.16	134.08	95.8	142.56	141.76	100.4	100486	clade11sub11subsub0-4
5655	143.1999969482422	142.87998962402344	99.8000030517578	140.48	140.24	95.6	145.36	145.76	102.3	96852	clade11sub28subsub2
5656	149.1199951171875	130.55999755859378	98.0	142.64	125.76	95.5	151.20000000000005	132.24	100.1	103328	clade11sub11subsub1
5657	150.39999389648438	139.36000061035156	102.8000030517578	148.48	137.76	99.1	152.0	142.8	109.1	82716	clade3.1sub34
5658	153.44000244140625	132.63999938964844	101.8000030517578	150.64	130.64	97.3	157.52	134.64	105.4	117558	clade11sub11subsub0-4
5659	156.16000366210938	142.87998962402344	101.0	153.12	138.08	98.8	162.56	145.04	101.4	71359	clade3.1sub44
5660	160.3199920654297	140.16000366210938	98.5999984741211	157.12	136.24	96.7	166.48	145.68	99.6	121390	clade3.1sub52
5661	160.16000366210938	132.16000366210938	102.20000457763672	157.76	129.2	98.8	163.12	135.04	105.0	119003	clade11sub35
5662	166.0800018310547	130.08000183105472	98.8000030517578	163.6	126.72	96.8	168.56	132.32	101.3	92796	clade11sub34
5663	167.51998901367188	125.75999450683594	98.20000457763672	164.64	123.44	95.7	172.88	130.16	100.9	141442	clade11sub16subsub8
5664	174.39999389648438	140.47999572753906	98.0	173.12	133.84	95.5	180.4	144.56	98.4	98914	clade3.1sub41
5665	184.8000030517578	135.67999267578122	100.5999984741211	181.36	133.92000000000002	99.0	189.44	142.24	104.2	136667	clade3.1sub55
5666	188.8000030517578	133.59999084472656	97.5999984741211	184.56	132.64	96.2	191.28	139.36	101.1	70267	clade3.1sub52
5667	187.0399932861328	124.79999542236328	99.5999984741211	184.64	122.88	95.7	190.24	129.2	101.8	76726	clade1sub12
5668	188.0	128.16000366210938	101.20000457763672	184.8	126.0	97.1	191.76	130.72	103.0	85111	clade7sub8
5669	197.1199951171875	137.75999450683594	98.4000015258789	193.6	135.84	95.9	202.32	141.12	101.9	119138	clade3.1sub55
5670	209.9199981689453	135.36000061035156	100.5999984741211	206.32	130.8	96.9	212.96	137.44	102.9	100067	clade3.1sub47
5671	210.72000122070312	128.47999572753906	101.8000030517578	209.2	125.12	99.5	214.48	132.4	103.0	93653	nocladesub4
5672	116.47999572753906	151.51998901367188	98.0	112.8	148.88	95.9	118.32	153.92000000000004	99.9	80846	nocladesub19
5673	117.75999450683594	148.3199920654297	103.0	113.84	144.32	98.9	120.4	150.88	106.1	143740	clade11sub11subsub0-4
5674	120.47999572753906	152.0	101.8000030517578	118.32	149.12	99.6	123.68	154.8	106.0	100204	clade11sub11subsub0-4
5675	123.83999633789062	156.63999938964844	100.5999984741211	120.8	152.16	98.2	126.08	159.44	102.9	100056	clade11sub11subsub1
5676	123.5199966430664	147.52000427246094	98.20000457763672	120.96	144.56	96.9	126.72	153.52	102.2	110317	clade11sub11subsub1
5677	121.75999450683594	164.16000366210938	103.5999984741211	118.72	160.8	98.6	124.16	166.48	106.7	96977	clade3.1sub50
5678	126.7199935913086	159.83999633789062	101.0	124.48	154.4	97.7	129.12	161.84	103.7	104062	clade11sub11subsub1
5679	125.1199951171875	154.239990234375	103.0	123.44	148.08	98.3	128.0	157.36	104.6	111578	clade11sub11subsub1
5680	131.19999694824222	161.27999877929688	100.8000030517578	128.56	159.36	98.4	134.32	164.88	104.2	109487	clade11sub27subsub8
5681	136.0	165.75999450683594	100.4000015258789	132.24	160.8	97.7	138.24	168.64	102.4	98841	clade11sub42
5682	136.47999572753906	160.8000030517578	102.4000015258789	132.24	158.0	97.8	138.96	162.88	105.9	128601	clade11sub27subsub8
5683	138.08000183105472	162.72000122070312	97.8000030517578	134.08	159.52	95.3	140.24	167.6	99.9	137912	clade11sub6subsub8
5684	141.1199951171875	163.36000061035156	100.4000015258789	138.56	160.24	96.5	143.28	166.48	102.7	113204	clade11sub11subsub2-3
5685	143.83999633789062	155.36000061035156	99.4000015258789	140.96	152.48	96.0	146.08	157.12	102.6	102637	clade11sub6subsub7
5686	144.47999572753906	148.47999572753906	100.8000030517578	142.64	145.6	97.3	146.96	151.68	103.7	107428	clade11sub6subsub7
5687	153.59999084472656	159.0399932861328	96.4000015258789	150.8	155.76	95.0	159.68	166.24	96.7	88939	clade3.1sub14
5688	152.63999938964844	147.67999267578125	101.0	150.0	145.04	99.4	156.56	154.32	101.4	85528	clade3.1sub44
5689	156.8000030517578	145.59999084472656	98.8000030517578	151.28	143.36	96.8	158.88	152.16	100.9	117349	clade3.1sub52
5690	165.75999450683594	159.67999267578125	99.8000030517578	163.44	157.92000000000004	97.7	170.16	163.04	103.8	106035	nocladesub10
5691	173.59999084472656	152.95999145507812	102.0	170.24	149.44	97.5	175.12	155.52	103.8	100299	nocladesub10
5692	179.0399932861328	148.3199920654297	98.0	177.04	144.24	96.2	184.64	150.88	103.4	149916	clade3.1sub41
5693	180.0	158.0800018310547	100.5999984741211	177.44	155.52	97.4	184.16	160.64	104.2	134135	nocladesub11
5694	181.1199951171875	153.75999450683594	97.8000030517578	178.72	151.68	95.5	186.08	156.8	100.4	121320	nocladesub10
5695	185.27999877929688	150.87998962402344	102.8000030517578	180.72	148.96	98.5	187.36	152.72	104.5	87867	nocladesub12
5696	183.51998901367188	154.0800018310547	101.4000015258789	180.96	152.24	98.0	186.16	158.56	103.5	89775	nocladesub12
5697	185.27999877929688	148.47999572753906	98.20000457763672	182.08	145.84	95.6	188.24	152.0	101.0	125334	nocladesub11
5698	186.55999755859372	156.8000030517578	101.5999984741211	184.72	154.4	98.4	189.12	160.64	104.0	100073	nocladesub11
5699	188.63999938964844	147.0399932861328	101.5999984741211	184.64	144.8	98.5	190.72	149.04	104.2	96285	nocladesub12
5700	188.63999938964844	155.0399932861328	104.20000457763672	185.84	152.48	98.3	190.72	157.6	105.6	82517	nocladesub11
5701	188.8000030517578	151.0399932861328	103.4000015258789	186.8	148.8	98.6	191.92	153.12	106.7	97641	nocladesub11
5702	189.75999450683597	160.16000366210938	99.5999984741211	187.68	156.8	97.3	192.0	163.36	102.3	99617	zero
5703	192.1599884033203	156.95999145507812	100.5999984741211	190.0	155.12	98.1	196.0	161.76	103.7	122957	nocladesub29
5704	196.47999572753903	156.8000030517578	102.0	192.72	154.08	99.4	198.24	160.48	104.9	103258	nocladesub11
5705	198.0800018310547	156.16000366210938	97.8000030517578	195.44	154.0	96.1	200.96	159.68	102.8	89618	nocladesub11
5706	199.83999633789062	149.9199981689453	100.5999984741211	195.84	146.96	98.5	203.52	153.04	102.9	111462	nocladesub11
5707	200.0	152.8000030517578	97.8000030517578	197.2	147.6	95.5	203.52	154.64	99.4	94280	nocladesub11
5708	204.0	147.1999969482422	99.20000457763672	201.04	143.6	97.3	206.08	151.20000000000005	101.6	88778	clade3.1sub11
5709	205.1199951171875	169.9199981689453	98.20000457763672	200.72	163.04	96.7	207.52	171.6	101.6	75993	clade3.1sub41
5710	206.0800018310547	155.67999267578125	99.20000457763672	203.52	151.68	96.2	209.52	159.52	101.3	102265	clade3.1sub41
5711	206.72000122070312	148.8000030517578	97.20000457763672	204.48	144.4	95.0	209.12	151.12	104.5	132645	clade3.1sub41
5712	211.3600006103516	160.47999572753906	102.4000015258789	207.84	157.04	95.0	211.68	165.12	103.3	75250	clade3.1sub14
5713	212.47999572753903	149.9199981689453	98.0	211.36	148.88	96.7	216.08	161.28	104.3	119469	clade3.1sub14
5714	218.239990234375	164.63999938964844	99.0	216.64	163.12	96.8	222.32	168.56	102.1	60948	clade11sub44
5715	220.9599914550781	162.239990234375	98.4000015258789	219.12	157.84	95.6	225.2	166.32	99.9	86899	nocladesub3
5716	105.91999816894531	187.3600006103516	99.5999984741211	104.4	183.28	97.2	108.48	192.88	103.7	109831	clade9sub7
5717	109.43999481201172	182.55999755859372	99.4000015258789	107.36	174.88	97.0	112.96	184.56	101.6	105637	clade9sub11
5718	110.87999725341795	169.75999450683594	99.8000030517578	108.64	167.36	97.6	113.52	173.36	102.2	96960	clade10sub20
5719	111.83999633789062	172.8000030517578	97.5999984741211	109.04	169.20000000000005	95.7	115.04	175.84	100.5	56667	clade10sub20
5720	114.07999420166016	177.44000244140625	97.4000015258789	110.32	175.04	95.0	116.0	180.4	99.9	81761	clade9sub11
5721	116.47999572753906	183.51998901367188	100.0	112.64	181.04	98.6	122.08	186.64	104.1	73368	clade11sub59
5722	117.43999481201172	175.51998901367188	98.5999984741211	114.72	172.64	96.6	119.6	178.4	101.0	89606	clade11sub22subsub4
5723	117.5999984741211	170.39999389648438	98.20000457763672	115.2	167.28	96.5	123.2	172.48	101.1	98803	clade7sub8
5724	119.5199966430664	172.47999572753906	101.20000457763672	116.48	169.20000000000005	99.2	122.16	176.0	103.0	98430	clade10sub20
