label_id	max_midgut_endo	max_first_view	colour_midgut	colour_first_view
2201	1.240765563978872e-21	2.1390408672153865e-21	255-24-215-202	255-26-209-210
2202	1.2043847935656813e-18	6.712833581670575e-19	255-24-215-202	255-122-4-2
2203	3.9536034329432036e-20	1.6546964747069386e-17	255-70-122-242	255-26-209-210
2204	4.222566667810736e-20	5.783042450276741e-21	255-24-215-202	255-254-152-44
2205	1.0478069756428973e-21	1.5765586871170065e-18	255-70-122-242	255-212-231-53
2206	7.970041305513623e-20	5.146968628881707e-15	255-24-215-202	255-26-209-210
2207	2.982061134187337e-20	7.887264653686493e-19	255-24-215-202	255-26-209-210
2208	6.798981539188103e-16	2.2105713739903903e-14	255-24-215-202	255-122-4-2
2209	1.0576664630255832e-21	7.755772645465941e-20	255-24-215-202	255-122-4-2
2210	6.78329307591085e-20	2.186774788999798e-18	255-24-215-202	255-122-4-2
2211	1.297970541936561e-19	7.969087585517054e-17	255-24-215-202	255-122-4-2
2212	4.6692090163811115e-17	1.0442621587636688e-14	255-24-215-202	255-26-209-210
2213	3.88391446186708e-19	2.101931969271048e-17	255-24-215-202	255-122-4-2
2214	2.692932211754763e-15	1.1662474256868642e-14	255-70-122-242	255-122-4-2
2215	5.495074011655808e-19	2.503858538791464e-16	255-24-215-202	255-122-4-2
2216	4.0458641045620696e-19	1.722822782260082e-16	255-24-215-202	255-122-4-2
2217	1.017874489037518e-18	1.410463870829873e-17	255-24-215-202	255-122-4-2
2218	1.7259559603001704e-19	6.761876360086363e-15	255-24-215-202	255-122-4-2
2219	5.2301237357030514e-20	1.2061727573673897e-14	255-24-215-202	255-122-4-2
2220	1.6705599696089012e-15	2.882946669493703e-15	255-24-215-202	255-122-4-2
2221	5.9764867271327524e-18	1.0667285842881457e-15	255-24-215-202	255-122-4-2
2222	1.206361521593182e-18	2.970651281309229e-14	255-24-215-202	255-122-4-2
2223	1.7335066393107836e-21	1.6068691814183958e-16	255-24-215-202	255-122-4-2
2224	2.160124244569814e-16	6.196575735450648e-16	255-24-215-202	255-122-4-2
2225	4.282746464542001e-19	2.148030123525588e-16	255-70-122-242	255-122-4-2
2226	5.8148309205802955e-24	1.1669233275223525e-17	255-24-215-202	255-122-4-2
2227	2.0638814152030682e-19	2.8696712676894834e-14	255-24-215-202	255-122-4-2
2228	3.0303653717579304e-17	9.850541446616448e-14	255-70-122-242	255-122-4-2
2229	1.127717980220834e-21	8.948521674470276e-19	255-70-122-242	255-122-4-2
2230	4.3248141975281e-15	1.3050166365977569e-12	255-70-122-242	255-122-4-2
2231	7.283206342257773e-18	7.56802458844103e-13	255-24-215-202	255-122-4-2
2232	1.3497538447029043e-14	6.7098289473891095e-12	255-70-122-242	255-26-209-210
2233	1.7160811862462714e-10	2.7497698129120504e-09	255-70-122-242	255-26-209-210
2234	6.658781445542036e-11	1.0662544471769536e-09	255-70-122-242	255-122-4-2
2235	2.287922773578855e-15	8.787248794380656e-14	255-70-122-242	255-101-252-104
2236	2.402285504380819e-12	1.713218753877686e-09	255-70-122-242	255-212-231-53
2237	1.956853894828067e-06	9.920060708720318e-06	255-70-122-242	255-254-152-44
2238	3.259362071923757e-17	1.9246911944980862e-14	255-24-215-202	255-26-209-210
2239	8.68114241396731e-20	8.140455443542457e-16	255-70-122-242	255-26-209-210
2240	1.3869841468605658e-12	2.684003088733807e-10	255-24-215-202	255-212-231-53
2241	1.1992519763597564e-14	9.913416015635551e-07	255-24-215-202	255-212-231-53
2242	1.5659716571022878e-17	2.6821949944933844e-09	255-222-62-8	255-70-122-242
2243	5.130675619679149e-27	1.466722252653207e-21	255-24-215-202	255-26-209-210
2244	3.4552736200342606e-32	5.2625809052861435e-24	255-70-122-242	255-26-209-210
2245	1.1704246237262067e-27	1.640272804324296e-17	255-24-215-202	255-70-122-242
2246	4.795476504929421e-30	1.274325806127722e-22	255-70-122-242	255-26-209-210
2247	3.0789797831688208e-25	5.606918678804306e-13	255-70-122-242	255-70-122-242
2248	1.0871908399875796e-24	4.965514859113684e-19	255-70-122-242	255-101-252-104
2249	3.49233066199684e-29	6.688927438205672e-21	255-70-122-242	255-26-209-210
2250	2.9958108911735207e-27	4.673630026175125e-16	255-70-122-242	255-122-4-2
2251	5.537074378756893e-30	9.17876536175142e-18	255-70-122-242	255-122-4-2
2252	2.856263224637513e-29	5.1834275760109145e-18	255-70-122-242	255-26-209-210
2253	2.4039294132705196e-26	1.5346788083083812e-14	255-70-122-242	255-122-4-2
2254	1.005092490953022e-27	7.283106711221703e-15	255-70-122-242	255-122-4-2
2255	1.2466468665191366e-30	7.274485615792792e-20	255-70-122-242	255-122-4-2
2256	3.828238396638083e-18	2.533961531410821e-16	255-70-122-242	255-70-122-242
2257	5.092850035940367e-23	4.635106866651269e-19	255-70-122-242	255-26-209-210
2258	2.23755710956978e-25	2.1334685414763017e-15	255-24-215-202	255-26-209-210
2259	1.2070108040759783e-27	1.3898783530283122e-17	255-70-122-242	255-212-231-53
2260	7.094605923740951e-23	3.995949640461565e-15	255-24-215-202	255-26-209-210
2261	1.2402658409776448e-20	1.4914214237660342e-15	255-70-122-242	255-26-209-210
2262	2.4386780462391867e-21	1.1643274650704692e-16	255-24-215-202	255-212-231-53
2263	9.470976490325076e-25	2.594354890746786e-19	255-24-215-202	255-122-4-2
2264	2.134439598974137e-18	1.6459034021943366e-13	255-24-215-202	255-122-4-2
2265	3.1463040241835988e-21	4.69709950793471e-17	255-24-215-202	255-26-209-210
2266	1.592576146957213e-22	2.067570776829747e-16	255-24-215-202	255-26-209-210
2267	6.139983016668772e-12	5.428069792583348e-09	255-70-122-242	255-254-152-44
2268	1.630017603579904e-17	3.276838560767199e-13	255-70-122-242	255-26-209-210
2269	4.097863715960096e-17	1.2957488613818277e-13	255-24-215-202	255-26-209-210
2270	8.770567807960861e-19	1.0060636948342625e-12	255-24-215-202	255-26-209-210
2271	1.3580202392784376e-24	5.637179852211069e-16	255-24-215-202	255-26-209-210
2272	2.2032686502565405e-05	9.763905886290678e-05	255-53-243-148	255-254-152-44
2273	8.373834428611513e-20	1.3926393312841868e-14	255-24-215-202	255-26-209-210
2274	1.4074258685275052e-09	0.001075498935302	255-51-172-246	255-26-209-210
2275	1.3549491490211797e-22	6.124078605474152e-16	255-70-122-242	255-26-209-210
2276	1.535692824371257e-20	7.602193831992975e-14	255-24-215-202	255-26-209-210
2277	5.1144069814296775e-14	3.3118452504868785e-11	255-122-4-2	255-26-209-210
2278	2.5758162077339412e-20	1.583873800429604e-14	255-24-215-202	255-122-4-2
2279	2.248400539430939e-07	3.6431161654033866e-05	255-222-62-8	255-70-122-242
2280	2.9993287596242677e-05	0.0002453563171931	255-128-254-83	255-70-122-242
2281	7.795636168915357e-18	1.771373809711145e-12	255-24-215-202	255-122-4-2
2282	1.1793765790956637e-07	4.7668742829981445e-08	255-128-254-83	255-101-252-104
2283	2.674008708705937e-15	7.111859073781383e-10	255-24-215-202	255-122-4-2
2284	0.0028208264757878	0.0001410434754123	255-122-4-2	255-70-122-242
2285	0.017490321647443	0.0017742674415246	255-128-254-83	255-254-152-44
2286	0.0004961807257774	0.0001727222224374	255-128-254-83	255-70-122-242
2287	0.0002282944479961	3.2668775302101747e-06	255-122-4-2	255-70-122-242
