label_id	Cardiovascular system	Midgut	Sensory Motile Cilia	Nervous System	Stem cells	Somatic musculature	Epidermis	Gland cells	Heme/chitin	Anterior nervous system	Enteric nervous system	zero	autofluorescence	most probable cluster
27	8.39091951446426e-28	2.693594712091036e-26	0.9999999496811305	5.03116651959043e-08	7.135214008670168e-12	3.44881163100606e-29	6.866665197663584e-14	4.575462822969585e-20	4.469872357985972e-16	9.260591868090097e-28	5.064291000539627e-22	1.557314464216018e-190	1.0696002798825695e-254	Sensory Motile Cilia
28	5.391839871479117e-10	2.7908544688922645e-09	0.04803541029867875	0.00019877414520777254	0.006010500811418977	1.524704767209618e-10	0.8425141655926657	0.00041333736453571325	0.10282780765845075	1.4530053225929907e-14	6.465188764489912e-10	1.6199126813902139e-74	0.0	Epidermis
29	1.4999378343808768e-11	5.168038073625282e-12	0.008983249001029564	0.9910078975477046	8.841416006371462e-06	6.129676699229909e-16	7.717547887287475e-11	5.291361757860862e-11	1.1884151059135222e-08	1.0682218575802339e-24	8.513103268590454e-13	1.986307762664479e-132	0.0	Nervous System
30	1.5375950637787526e-17	1.3881368180279545e-19	0.9992159292783316	0.000784054716261358	1.6003655543916746e-08	4.083992470792766e-21	4.9021098753500655e-17	2.629486736209787e-13	1.385054079283069e-12	4.777294488837588e-14	5.5703179990589395e-14	6.067473805364893e-163	4.452938348685476e-281	Sensory Motile Cilia
31	3.230075999144344e-13	1.324086564755861e-12	0.23964244780951022	0.7603573078991052	2.8117165012613964e-08	2.10020920170947e-17	2.5541423187078557e-11	2.143636370257948e-07	1.7742105394571651e-09	1.0670489684226822e-16	9.183459097856616e-12	2.2630849540087863e-109	0.0	Nervous System
32	1.994353929724931e-06	9.499712002102348e-07	0.2623308480704811	0.17119803162467653	0.4232681338845961	5.247321315802376e-07	0.0004287778224151933	0.028057010260232933	0.11449601198717427	1.774399123111868e-10	0.00021771711572246764	2.5352425915375768e-54	0.0	Stem cells
33	2.5887001905331904e-35	2.0492152098132928e-35	0.10223880181910065	0.8977611981808994	7.431398594939193e-18	4.4497864991574485e-34	3.04060103017811e-24	7.889201802745183e-26	1.6599015391341729e-18	2.2746065265679284e-20	6.589371656290823e-25	4.114297678000201e-254	2.5301810313304948e-228	Nervous System
34	6.093605046754022e-08	1.1545042641513842e-07	0.0004749028847011489	0.00012099501065223504	0.014826539891466773	1.27916784853039e-07	0.9784556055907806	0.0009709835050049839	0.005150377086812699	1.6033009451214383e-10	2.9156698987044805e-07	3.76085937003718e-70	0.0	Epidermis
35	1.4512890531481614e-08	4.70933484343945e-09	0.5826557497482284	0.3618017790269702	0.014716261288572457	1.6265710286505546e-09	3.414580034962846e-05	0.030351908926042472	0.010420103214171488	2.8845312655578625e-09	2.0028262337578637e-05	7.21212026584341e-61	0.0	Sensory Motile Cilia
36	4.6460282478967374e-05	1.7929493053158944e-07	0.05675522802824513	0.004728505928470003	0.007470324225870824	2.5893365715875096e-09	0.9285664546458937	0.00019220068990633032	0.0022405769905934716	6.727801995886667e-08	4.625451424674015e-11	4.564729302522926e-82	0.0	Epidermis
