label_id	most_probable_broad_type	most_probable_broad_subtype	broadTypeColourScheme	subtypeColourScheme
1212	Central nervous system	clade11sub18subsub2	255-66-212-244	255-33-23-27
1214	Developing neurons	clade11sub4subsub2-5-8	255-145-30-180	255-76-53-5
1218	Developing neurons	clade11sub8subsub0	255-145-30-180	255-171-171-112
1223	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
1251	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
1299	Developing neurons	clade11sub7subsub6	255-145-30-180	255-88-67-2
1301	Developing neurons	clade11sub4subsub2-5-8	255-145-30-180	255-76-53-5
1303	Developing neurons	clade11sub7subsub6	255-145-30-180	255-88-67-2
1306	Developing neurons	clade11sub7subsub6	255-145-30-180	255-88-67-2
1337	Central nervous system	clade11sub9subsub4	255-66-212-244	255-29-150-117
1348	Developing neurons	clade11sub8subsub0	255-145-30-180	255-171-171-112
1365	Developing neurons	clade11sub4subsub6	255-145-30-180	255-237-50-18
1387	Motile cilia	clade10sub21	255-67-99-216	255-29-22-205
1388	Motile cilia	clade10sub3subsub5-9	255-67-99-216	255-221-88-152
1389	Motile cilia	clade10sub21	255-67-99-216	255-29-22-205
1390	Motile cilia	clade10sub13	255-67-99-216	255-241-16-117
1393	Motile cilia	clade11sub18subsub2	255-67-99-216	255-33-23-27
1399	Motile cilia	clade10sub22	255-67-99-216	255-2-248-235
1474	Developing neurons	clade11sub7subsub6	255-145-30-180	255-88-67-2
1476	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
1477	Motile cilia	clade10sub22	255-67-99-216	255-2-248-235
1482	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
1532	Central nervous system	clade11sub15subsub4	255-66-212-244	255-175-202-19
1581	Developing neurons	clade9sub7	255-145-30-180	255-32-59-139
1583	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
1640	Developing neurons	clade11sub4subsub2-5-8	255-145-30-180	255-76-53-5
1678	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
1691	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
1697	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
1708	Developing neurons	clade11sub8subsub0	255-145-30-180	255-171-171-112
1716	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
1718	Developing neurons	clade11sub7subsub6	255-145-30-180	255-88-67-2
1719	Developing neurons	clade11sub7subsub6	255-145-30-180	255-88-67-2
1745	Motile cilia	clade10sub22	255-67-99-216	255-2-248-235
1747	Motile cilia	clade10sub19	255-67-99-216	255-85-83-14
1748	Motile cilia	clade10sub3subsub5-9	255-67-99-216	255-221-88-152
1818	Motile cilia	clade11sub9subsub3	255-67-99-216	255-165-50-180
1827	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
1861	Developing neurons	clade11sub8subsub0	255-145-30-180	255-171-171-112
1880	Central nervous system	clade11sub9subsub4	255-66-212-244	255-29-150-117
1885	Central nervous system	clade11sub9subsub4	255-66-212-244	255-29-150-117
1935	Central nervous system	clade11sub9subsub3	255-66-212-244	255-165-50-180
1937	Central nervous system	clade11sub9subsub4	255-66-212-244	255-29-150-117
1938	Central nervous system	clade11sub9subsub4	255-66-212-244	255-29-150-117
2040	Developing neurons	clade9sub22	255-145-30-180	255-220-142-102
2043	Central nervous system	clade11sub8subsub1-4	255-66-212-244	255-227-220-128
2044	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
2052	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2053	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2055	Developing neurons	clade11sub7subsub6	255-145-30-180	255-88-67-2
2062	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2064	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2070	Developing neurons	clade11sub8subsub0	255-145-30-180	255-171-171-112
2072	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2089	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
2094	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
2096	Motile cilia	clade11sub8subsub0	255-67-99-216	255-171-171-112
2098	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
2101	Midgut	clade9sub22	255-191-239-69	255-220-142-102
2103	Developing neurons	clade11sub18subsub2	255-145-30-180	255-33-23-27
2123	Central nervous system	clade11sub8subsub1-4	255-66-212-244	255-227-220-128
2126	Central nervous system	clade11sub8subsub1-4	255-66-212-244	255-227-220-128
2157	Developing neurons	clade11sub9subsub4	255-145-30-180	255-29-150-117
2173	Developing neurons	clade11sub18subsub2	255-145-30-180	255-33-23-27
2177	Developing neurons	clade11sub7subsub6	255-145-30-180	255-88-67-2
2191	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2192	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2195	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2202	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2212	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
2266	Developing neurons	clade9sub17	255-145-30-180	255-209-78-49
2268	Anterior nervous system	nocladesub19	255-240-50-230	255-216-91-192
2275	Central nervous system	clade11sub9subsub4	255-66-212-244	255-29-150-117
2276	Central nervous system	clade11sub9subsub4	255-66-212-244	255-29-150-117
2284	Motile cilia	clade10sub13	255-67-99-216	255-241-16-117
2298	Developing neurons	clade9sub16	255-145-30-180	255-113-132-112
2307	Stem cells	clade3.1sub23	255-250-190-212	255-159-189-141
2314	Midgut	clade7sub10	255-191-239-69	255-84-30-47
2315	Motile cilia	clade11sub28subsub4	255-67-99-216	255-89-238-110
2316	Heme/chitin	clade11sub23	255-245-130-49	255-81-106-213
2317	Central nervous system	nocladesub22	255-66-212-244	255-190-57-90
2323	Central nervous system	clade11sub8subsub1-4	255-66-212-244	255-227-220-128
2326	Central nervous system	clade11sub37	255-66-212-244	255-177-47-126
2369	Motile cilia	clade10sub19	255-67-99-216	255-85-83-14
2370	Heme/chitin	clade13sub3	255-245-130-49	255-19-163-136
2384	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
2386	Central nervous system	clade11sub8subsub1-4	255-66-212-244	255-227-220-128
2387	Central nervous system	clade11sub27subsub6	255-66-212-244	255-28-120-154
2388	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2392	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2393	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2395	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2397	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2401	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2402	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2406	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2408	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2410	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2431	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
2434	Central nervous system	clade11sub8subsub1-4	255-66-212-244	255-227-220-128
2435	Central nervous system	clade11sub29subsub6	255-66-212-244	255-83-238-234
2436	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
2438	Central nervous system	clade11sub15subsub4	255-66-212-244	255-175-202-19
2439	Motile cilia	clade11sub8subsub1-4	255-67-99-216	255-227-220-128
2440	Developing neurons	clade9sub13	255-145-30-180	255-168-20-248
2443	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
2445	Motile cilia	clade11sub23	255-67-99-216	255-81-106-213
2522	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2524	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2525	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2527	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2528	Developing neurons	clade11sub8subsub0	255-145-30-180	255-171-171-112
2529	Central nervous system	clade11sub8subsub1-4	255-66-212-244	255-227-220-128
2530	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2592	Central nervous system	clade11sub7subsub6	255-66-212-244	255-88-67-2
2611	Motile cilia	clade4sub5	255-67-99-216	255-166-19-30
2628	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
2632	Motile cilia	clade10sub21	255-67-99-216	255-29-22-205
2633	Motile cilia	clade10sub19	255-67-99-216	255-85-83-14
2645	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
2646	Motile cilia	clade11sub23	255-67-99-216	255-81-106-213
2648	Central nervous system	clade9sub22	255-66-212-244	255-220-142-102
2649	Motile cilia	clade11sub23	255-67-99-216	255-81-106-213
2650	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
2651	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
2652	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
2692	Motile cilia	clade10sub13	255-67-99-216	255-241-16-117
2693	Motile cilia	clade4sub3	255-67-99-216	255-114-51-3
2694	zero	clade4sub5	255-128-128-128	255-166-19-30
2695	Motile cilia	clade10sub9	255-67-99-216	255-188-185-109
2703	Epidermis	nocladesub20	255-128-128-0	255-198-46-67
2710	Central nervous system	clade11sub23	255-66-212-244	255-81-106-213
2712	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2713	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2714	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2716	Developing neurons	clade11sub8subsub0	255-145-30-180	255-171-171-112
2717	Developing neurons	clade11sub8subsub0	255-145-30-180	255-171-171-112
2720	Developing neurons	clade11sub8subsub0	255-145-30-180	255-171-171-112
2726	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2747	Motile cilia	clade10sub14	255-67-99-216	255-208-175-247
2748	Developing neurons	clade11sub6subsub7	255-145-30-180	255-229-171-128
2754	Midgut	clade11sub23	255-191-239-69	255-81-106-213
2755	Cardiovascular system	clade11sub29subsub6	255-255-225-25	255-83-238-234
2763	Glia	clade2sub2	255-230-25-75	255-117-241-91
2811	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2825	Developing neurons	clade11sub8subsub0	255-145-30-180	255-171-171-112
2829	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2830	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2831	Central nervous system	clade11sub9subsub4	255-66-212-244	255-29-150-117
2832	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2836	Developing neurons	clade11sub9subsub3	255-145-30-180	255-165-50-180
2913	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
2922	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
3075	Central nervous system	clade11sub13subsub4	255-66-212-244	255-134-102-184
3080	Central nervous system	clade11sub8subsub0	255-66-212-244	255-171-171-112
