label_id	anchor_x	anchor_y	anchor_z	cell_id	kevin_head_traces_id	david_motorneuron_2nd_segment_traces_id	most_probable_broad_type	most_probable_subtype
3286	124.64	166.32	61.7	5558	648	0	Central nervous system	clade11sub21
3287	127.12	171.52	60.3	5343	647	0	Central nervous system	clade11sub6subsub8
3288	130.96	174.56	60.2	5345	645	0	Central nervous system	clade11sub6subsub8
3291	133.36	178.08	59.4	5366	646	0	Motile cilia	clade9sub12
3365	178.48	207.52	61.2	5629	618	0	Central nervous system	clade11sub7subsub7
3395	149.76	213.76	58.0	5414	551	0	Developing neurons	clade11sub25subsub5
3401	155.92	211.44	60.2	5416	228	0	Central nervous system	clade11sub7subsub6
3405	161.76	208.0	61.6	5862	226	0	Central nervous system	clade11sub7subsub6
3409	164.08	216.16	63.6	5662	213	0	Central nervous system	clade11sub48
3410	167.44	215.12	60.0	5435	211	0	Anterior nervous system	clade11sub48
3411	165.12	211.12	61.4	5188	218	0	Anterior nervous system	clade11sub48
3414	170.24	217.84	58.1	5191	225	0	Central nervous system	clade11sub8subsub1-4
3416	171.36	213.12	60.3	5421	223	0	Central nervous system	clade11sub7subsub7
3418	173.68	210.56	61.6	5864	619	0	Central nervous system	clade11sub8subsub1-4
3419	174.4	216.32	56.3	5194	631	0	Central nervous system	clade11sub7subsub7
3421	175.84	216.0	60.1	5422	629	0	Central nervous system	clade11sub45subsub0
3423	176.48	220.48	60.3	5664	630	0	Heme/chitin	nocladesub3
3424	178.24	218.4	57.0	5195	632	0	Central nervous system	clade11sub7subsub7
3435	198.56	209.2	61.5	5651	141	0	Central nervous system	clade11sub15subsub4
3436	201.92	212.56	60.5	5426	139	0	Developing neurons	clade11sub32subsub1
3444	151.44	117.76	66.0	5467	543	0	zero	clade4sub3
3491	177.92	140.72	63.2	5947	699	0	Heme/chitin	clade3.2sub17
3520	223.92	145.04	63.9	5530	238	0	Central nervous system	clade11sub48
3522	226.56	140.8	63.0	5737	257	0	Anterior nervous system	clade11sub48
3524	230.8	144.64	64.5	5759	240	0	Central nervous system	clade11sub48
3525	232.24	137.2	65.5	6224	230	0	Central nervous system	clade11sub8subsub0
3526	234.96	140.8	64.6	6225	88	0	Anterior nervous system	clade11sub48
3529	123.36	164.96	65.3	6017	649	0	Central nervous system	clade11sub6subsub8
3540	183.2	146.24	63.2	5752	697	0	Heme/chitin	clade1sub19
3545	188.8	147.52	66.3	5980	693	0	zero	clade5sub16
3587	124.64	176.24	64.8	5807	650	0	Central nervous system	clade10sub3subsub5-9
3611	150.16	186.56	67.0	6331	678	0	Central nervous system	clade11sub8subsub0
3633	184.48	183.92	66.0	6079	113	0	Cardiovascular system	clade7sub10
3677	153.28	190.4	67.2	6067	72	0	Somatic musculature	clade3.1sub48
3692	169.6	205.84	65.4	5853	626	0	Central nervous system	clade11sub8subsub8
3699	179.52	190.08	66.3	6339	117	0	Motile cilia	clade11sub17subsub6
3701	181.84	193.12	65.3	6603	119	0	Developing neurons	clade11sub4subsub6
3703	182.96	187.6	66.7	6340	115	0	Motile cilia	clade9sub11
