label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	n_traces	sources	cell_id	kevin_head_traces_id	david_motorneuron_2nd_segment_traces_id
2443	143.76	172.88	46.5	140.72	166.96	37.00	176.32	189.44	52.80	0	1	kevin	3927	603	0
2445	147.68	167.92	46.1	144.48	164.40	34.90	202.96	186.80	62.60	0	1	kevin	3928	606	0
2522	168.4	196.24	45.5	165.68	182.88	43.00	171.52	201.04	55.20	0	1	kevin	3618	40	0
2524	171.44	194.0	46.1	166.72	176.80	41.70	174.48	198.08	55.00	0	1	kevin	3619	54	0
2525	172.08	190.8	44.8	166.08	182.64	41.40	176.08	194.16	52.30	0	1	kevin	3437	483	0
2527	172.72	188.24	46.9	167.68	182.24	44.40	175.60	191.60	51.00	0	1	kevin	3959	493	0
2528	175.84	200.32	45.1	161.76	178.96	43.30	178.24	203.92	50.40	0	1	kevin	3813	501	0
2529	176.24	187.76	44.7	167.84	184.08	41.10	179.28	190.24	54.10	0	1	kevin	3594	495	0
2530	175.92	194.72	45.9	166.56	183.44	43.40	179.12	197.76	52.90	0	1	kevin	3960	499	0
2592	180.72	211.76	46.6	177.44	145.20	36.30	201.04	215.20	51.40	0	1	kevin	3994	511	0
2611	159.68	123.52	50.2	157.20	120.64	36.10	168.00	137.12	52.30	0	1	kevin	4019	566	0
2628	137.92	145.12	50.0	132.56	138.56	40.60	140.32	161.52	108.10	0	1	kevin	3512	634	0
2632	152.24	128.24	50.8	145.04	118.64	41.20	167.52	132.40	105.70	0	1	kevin	4193	568	0
2633	154.24	126.32	48.8	145.76	119.68	40.40	169.76	130.72	96.50	0	1	kevin	4017	570	0
2645	176.4	132.8	47.8	174.56	130.56	45.90	196.16	168.48	54.30	0	1	kevin	4025	576	0
2646	178.48	137.76	48.4	175.36	135.60	38.20	191.92	169.44	53.90	0	1	kevin	3885	574	0
