label_id	cell_id	nucleus_id	most_probable_subtype	most_probable_broad_type	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points
449	4239	2720	clade11sub8subsub0	Developing neurons	213.2	149.28	51.3	197.04	147.04	48.6	213.28	149.68	54.5	104
45	3046	0	No_nuclei	No_nuclei	185.12	155.92	42.6	185.12	147.28	38.5	193.52	156.0	51.8	229
451	3898	2712	clade11sub8subsub0	Central nervous system	198.88	150.4	48.7	192.8	145.28	48.7	198.96	150.48	53.2	93
453	3756	2402	clade11sub8subsub0	Central nervous system	214.0	157.36	46.7	195.6	144.24	46.7	214.08	157.44	52.5	193
455	3229	2062	clade11sub8subsub0	Central nervous system	208.08	156.8	41.1	197.28	147.28	41.1	208.16	156.88	49.5	56
457	2692	2070	clade11sub8subsub0	Developing neurons	215.84	157.84	39.8	202.56	130.32	13.6	218.56	158.64	56.2	270
459	2878	1697	clade11sub8subsub0	Central nervous system	202.24	155.6	38.0	201.04	149.12	38.0	207.68	156.32	53.6	100
461	4061	2726	clade11sub8subsub0	Central nervous system	220.16	146.96	47.1	195.68	146.24	47.1	220.24	148.96	52.3	92
463	2881	2064	clade11sub8subsub0	Central nervous system	210.88	154.88	39.2	191.04	146.8	39.2	210.96	154.96	53.8	185
465	1404	1708	clade11sub8subsub0	Developing neurons	211.68	158.64	37.1	200.16	129.6	13.7	219.68	197.44	69.0	746
469	3208	2055	clade11sub7subsub6	Developing neurons	200.96	145.52	43.5	198.32	143.92	43.5	206.88	152.08	54.6	227
47	6815	4004	clade3.2sub17	Stem cells	186.72	186.32	68.3	184.24	173.36	42.4	195.76	191.92	68.4	1193
471	2691	1716	clade11sub8subsub0	Central nervous system	215.68	153.28	36.9	202.16	130.24	13.5	218.56	153.36	58.4	450
473	3031	2053	clade11sub8subsub0	Central nervous system	200.56	149.28	39.6	200.4	144.16	39.6	206.96	149.36	52.8	157
475	3901	2410	clade11sub8subsub0	Central nervous system	221.12	154.0	45.4	199.68	144.16	45.4	221.2	154.08	54.2	255
477	3539	2408	clade11sub8subsub0	Central nervous system	220.32	153.12	43.2	201.92	150.0	43.2	220.4	155.92	51.8	105
479	2533	1719	clade11sub7subsub6	Developing neurons	220.88	155.68	36.2	199.04	143.76	36.2	220.96	155.76	52.6	425
481	2861	2052	clade11sub8subsub0	Central nervous system	198.0	152.0	40.6	198.0	142.64	40.6	205.84	152.08	51.9	199
483	3437	2525	clade11sub8subsub0	Central nervous system	172.08	190.8	44.8	166.08	182.64	44.8	172.16	190.88	52.3	80
485	3088	2192	clade11sub8subsub0	Central nervous system	170.0	190.96	41.4	165.12	182.32	41.4	170.08	191.04	51.6	95
487	2783	1861	clade11sub8subsub0	Developing neurons	175.84	204.0	35.5	167.04	181.92	35.5	175.92	204.08	48.4	116
489	3268	2195	clade11sub8subsub0	Central nervous system	169.76	186.16	43.5	164.4	170.96	43.5	173.68	186.24	51.9	243
49	3729	2387	clade11sub27subsub6	Central nervous system	189.2	146.88	48.3	189.2	143.76	48.3	196.24	148.96	55.3	192
491	3282	2191	clade11sub8subsub0	Central nervous system	167.6	198.48	42.5	165.68	187.36	42.5	170.56	198.56	46.5	95
493	3959	2527	clade11sub8subsub0	Central nervous system	172.72	188.24	46.9	167.68	182.24	46.9	172.8	188.32	51.0	44
495	3594	2529	clade11sub8subsub1-4	Central nervous system	176.24	187.76	44.7	167.84	184.08	44.7	176.32	187.84	54.1	101
497	3269	2202	clade11sub8subsub0	Central nervous system	175.6	188.64	41.9	166.56	177.52	41.9	175.68	188.72	57.9	206
499	3960	2530	clade11sub8subsub0	Central nervous system	175.92	194.72	45.9	166.56	183.44	45.9	176.0	194.8	52.9	79
50	1413	1047	clade10sub19	Motile cilia	185.28	150.0	27.2	185.28	141.76	27.2	200.88	150.08	50.4	619
501	3813	2528	clade11sub8subsub0	Developing neurons	175.84	200.32	45.1	161.76	178.96	45.1	175.92	200.4	50.4	207
503	4493	2836	clade11sub9subsub3	Developing neurons	180.4	197.2	51.3	172.72	186.48	51.3	180.48	197.28	54.2	82
505	4304	2825	clade11sub8subsub0	Developing neurons	172.16	198.48	48.0	164.32	186.0	45.4	172.24	198.56	51.9	177
507	4136	2830	clade11sub8subsub0	Central nervous system	177.28	202.8	48.3	158.8	167.84	48.3	177.36	202.88	57.3	324
509	4491	2832	clade11sub8subsub0	Central nervous system	176.64	205.76	51.5	170.96	180.56	49.5	177.04	205.84	56.9	181
511	3994	2592	clade11sub7subsub6	Central nervous system	180.72	211.76	46.6	178.56	145.2	36.3	201.04	211.84	51.4	869
513	4492	2831	clade11sub9subsub4	Central nervous system	177.12	199.84	52.4	176.24	182.72	48.1	191.44	199.92	55.8	176
515	4806	3087	clade11sub11subsub2-3	Central nervous system	175.52	201.2	54.2	175.52	124.56	35.5	199.84	201.28	55.6	964
517	3481	2268	nocladesub19	Anterior nervous system	188.16	221.6	41.9	176.16	179.36	41.9	198.72	221.68	60.0	918
519	2912	2126	clade11sub8subsub1-4	Central nervous system	169.92	181.76	39.4	166.96	181.76	39.4	175.84	191.68	53.7	112
