label_id	anchor_x	anchor_y	anchor_z	cells	trace_id	cell_type	nucleus_id
10124	187.4182004426655	125.69599066498348	98.86828274995487	1	0	None	5667
10125	204.823104773711	130.19234706820677	103.8698958430824	1	0	muscle	5923
10126	192.9262960201758	125.92076777048628	97.98249267840008	1	0	None	5438
10127	191.8433852009404	125.27985671107128	94.43676792977352	0	0	None	0
10128	192.81808005725532	138.1910371069578	106.11505119930305	1	0	None	6164
10129	192.06102582202854	132.6367420661715	95.65286220152231	0	0	None	0
10130	206.6367793986926	133.0394376500204	106.13408363428104	1	0	muscle	5924
10131	115.77733813362538	141.5477749716234	95.79426773378508	0	0	None	0
10132	116.633051766809	140.57667693520406	97.23229570686908	1	0	neuron	5402
10133	124.33580726110293	142.40318232304742	97.03688566143718	1	0	neuron	5410
10134	131.32312241759266	139.10486713728736	96.58786045158001	1	0	neuron	5415
10135	133.4335820343372	136.08842018530663	94.20878693100607	0	0	None	0
10136	143.4763861527629	142.57267079505286	99.39910000265695	1	0	neuron	5655
10137	149.48263239970169	141.71844345722587	95.11007821889879	0	0	None	0
10138	152.26226182638956	134.6059014389166	95.48762593459044	0	0	None	0
10139	166.28691510690638	143.14067645512603	95.19157856255372	0	0	None	0
10140	175.98080497475826	139.95381094813504	97.24296659967493	1	0	muscle	5664
10141	192.0102877076281	144.14198021243416	97.89062786808873	1	0	None	140
10142	199.84076062147938	136.6563928848127	95.3037194809138	0	0	None	0
10143	210.8253386388625	136.70508537962706	94.08976295279624	0	0	None	0
10144	212.87358686486428	138.89583543579522	100.4366533276438	0	0	None	0
10145	213.1059837968029	141.95602350087913	103.22702119014411	0	0	None	0
10146	110.54327637330977	152.72165977419198	98.11040395723644	1	0	epithelial	5444
10147	117.57981170131792	147.45511921190766	96.86108549663766	1	0	None	5447
10148	125.25506481889973	155.80736908994058	97.29384428396023	1	0	None	5454
10149	143.85646975014632	152.18307554610158	96.78438965911215	1	0	None	5461
10150	144.34394331119546	149.11476323960662	93.85041117711748	0	0	None	0
10151	145.97736075930052	148.71156353105943	96.13289225609778	0	0	None	0
10152	165.08413800810777	151.41887313687064	95.23375605421259	0	0	None	0
10153	164.1353830086548	152.430188020334	95.26717584035895	0	0	None	0
10154	180.03213263140694	148.6946894763621	99.98571784039648	1	0	None	5692
10155	199.19953825935605	146.7233967145458	101.67321484689207	1	0	None	152
10156	198.54707847501712	150.74670142284162	102.85434193351172	1	0	None	5964
10157	195.39047358804402	149.7811436584357	103.01091943029276	1	0	None	5962
10158	199.69288177163241	151.05464625583582	97.19892624388771	1	0	None	5707
10159	199.0649698342604	139.0349550790469	99.62249465661458	1	0	None	5669
10160	214.00883139773487	159.07065167182668	100.55590568388979	1	0	None	5713
10161	209.80681786146855	149.9951998885874	93.71645467321078	0	0	None	0
10162	211.67481413371246	148.99886150857358	94.83615813664538	0	0	None	0
10163	211.68245570416	147.38647897073312	95.42345975497344	0	0	None	0
10164	211.1492024711364	150.8692138295285	119.6180367814953	0	0	None	0
10165	223.12781832699508	149.0253443413368	95.01564552164322	0	0	None	0
10166	100.48064888302014	142.7882235093651	149.95518428432345	1	0	None	7492
10167	131.9717347364774	163.9750598397089	105.1755631995996	1	0	None	5978
10168	130.8550438610992	163.32555389667618	96.01966143228479	1	0	None	5457
10169	142.48704150796738	156.20718998638276	100.35247458397106	1	0	None	5685
10170	142.40414344520775	156.64291990207315	94.2850020683996	0	0	None	0
10171	142.79341371513198	160.77332636925198	96.1322549112179	0	0	None	0
10172	155.14138907803317	155.4110929983277	99.67598062694056	1	0	None	5688
10173	167.91483824307502	160.86023698377096	99.21422146136759	1	0	None	5690
10174	172.2292691544479	158.1071796952707	94.60602716237548	0	0	None	0
10175	173.31314147153407	153.5889575998647	99.5833951347572	1	0	None	5691
10176	170.18176287081425	159.0297761664817	95.23761206379402	0	0	None	0
10177	175.47798013218278	158.99511141813716	95.08970250791805	0	0	None	0
10178	174.9527523389264	163.3409993798812	95.19936437821856	0	0	None	0
10179	183.41454633531484	159.6930276285396	103.98423180984513	1	0	None	5956
10180	180.7622745666956	158.76479484866448	99.04290652165552	1	0	None	5693
10181	182.70831404398282	163.11925118278904	93.51819222056128	0	0	None	0
10182	191.38693070397588	161.3867713153306	96.80306000782177	1	0	None	5476
10183	217.86984711008	166.32158862976982	95.10513763349495	1	0	None	5521
10184	222.1666782416202	161.879124897806	98.54070081689196	1	0	None	5715
10185	225.5716666328374	156.21501329490326	94.909458917734	0	0	None	0
10186	110.87950905312971	177.2687103896546	93.6941731412982	0	0	None	0
10187	120.97140024175413	171.28761391671387	93.8267329632712	0	0	None	0
10188	125.44430267200451	169.79887010054927	94.59065632467492	0	0	None	0
