label_id	clusters	morphologyColourScheme
8298	2	255-7-197-226
8297	1	255-147-172-58
8087	2	255-7-197-226
8460	3	255-98-0-122
7923	2	255-7-197-226
8461	2	255-7-197-226
7947	8	255-222-69-200
7730	10	255-114-16-255
7948	2	255-7-197-226
8104	10	255-114-16-255
8302	2	255-7-197-226
8303	2	255-7-197-226
7949	5	255-181-131-84
7537	5	255-181-131-84
7086	6	255-209-164-255
8130	7	255-98-132-2
7950	10	255-114-16-255
8492	5	255-181-131-84
7521	4	255-254-141-100
6598	9	255-0-76-255
5817	9	255-0-76-255
8092	6	255-209-164-255
7928	4	255-254-141-100
8498	6	255-209-164-255
7929	1	255-147-172-58
8132	10	255-114-16-255
8120	10	255-114-16-255
7931	2	255-7-197-226
8105	2	255-7-197-226
8134	10	255-114-16-255
8323	2	255-7-197-226
8500	3	255-98-0-122
8305	10	255-114-16-255
8106	2	255-7-197-226
8121	3	255-98-0-122
7952	2	255-7-197-226
8324	3	255-98-0-122
8108	2	255-7-197-226
8326	2	255-7-197-226
8122	2	255-7-197-226
8109	10	255-114-16-255
8327	3	255-98-0-122
8123	1	255-147-172-58
8124	2	255-7-197-226
7933	2	255-7-197-226
8502	2	255-7-197-226
8483	2	255-7-197-226
8484	2	255-7-197-226
8485	2	255-7-197-226
8329	3	255-98-0-122
8125	3	255-98-0-122
8486	2	255-7-197-226
7934	2	255-7-197-226
8310	2	255-7-197-226
8309	2	255-7-197-226
8341	3	255-98-0-122
7956	2	255-7-197-226
7747	4	255-254-141-100
8112	1	255-147-172-58
8505	3	255-98-0-122
7749	3	255-98-0-122
8127	1	255-147-172-58
7328	10	255-114-16-255
8315	2	255-7-197-226
7939	1	255-147-172-58
7560	8	255-222-69-200
8312	3	255-98-0-122
7548	0	255-255-0-73
8118	8	255-222-69-200
8316	10	255-114-16-255
7940	7	255-98-132-2
7944	8	255-222-69-200
8318	3	255-98-0-122
8332	8	255-222-69-200
7960	5	255-181-131-84
7964	5	255-181-131-84
7973	8	255-222-69-200
7557	2	255-7-197-226
7577	8	255-222-69-200
8335	2	255-7-197-226
8135	2	255-7-197-226
7954	3	255-98-0-122
8337	10	255-114-16-255
7976	3	255-98-0-122
7580	4	255-254-141-100
8137	2	255-7-197-226
7748	2	255-7-197-226
8338	10	255-114-16-255
8339	3	255-98-0-122
8351	8	255-222-69-200
8913	2	255-7-197-226
8724	8	255-222-69-200
8734	5	255-181-131-84
8152	7	255-98-132-2
8735	2	255-7-197-226
8522	5	255-181-131-84
8154	2	255-7-197-226
8906	5	255-181-131-84
8352	5	255-181-131-84
8523	5	255-181-131-84
8157	8	255-222-69-200
8736	2	255-7-197-226
