label_id	nucleus_id
1018	0
1019	698
1020	0
1021	905
1022	920
1023	1170
1024	1477
1025	923
1026	1173
1027	0
1028	852
1029	0
1030	0
1031	868
1032	874
1033	872
1034	870
1035	875
1036	0
1037	880
1038	0
1039	0
1040	882
1041	0
1042	964
1043	889
1044	888
1045	890
1046	898
1047	0
1048	0
1049	900
1050	895
1051	979
1052	921
1053	0
1054	939
1055	942
1056	948
1057	951
1058	952
1059	1218
1060	1240
1061	1177
1062	936
1063	935
1064	932
1065	0
1066	943
1067	1208
1068	0
1069	0
1070	0
1071	985
1072	0
1073	0
1074	0
1075	0
1076	2321
1077	2655
1078	1003
1079	0
1080	0
1081	0
1082	998
1083	0
1084	1971
1085	0
1086	769
1087	0
1088	1011
1089	773
1090	9
1091	0
1092	995
1093	794
1094	1617
1095	1270
1096	0
1097	765
1098	1009
1099	771
1100	0
1101	0
1102	774
1103	1018
1104	1025
1105	782
1106	1017
1107	0
1108	10
1109	791
1110	793
1111	1308
1112	1082
1113	1030
1114	795
1115	0
1116	0
1117	810
1118	808
1119	816
1120	1050
1121	820
1122	1060
1123	835
1124	1365
1125	1075
1126	0
1127	796
1128	0
1129	1319
1130	1323
1131	799
1132	1039
1133	0
1134	0
1135	0
1136	0
1137	0
1138	817
1139	823
1140	0
