label_id	max_first_view	best_first_view_type	colour_first_view
7231	0.0065202363241204	clade6sub19	255-254-152-44
7232	5.736212663610256e-15	nocladesub12	255-122-4-2
7233	1.4701637716058194e-09	nocladesub2	255-70-122-242
7234	1.2852807778553974e-10	nocladesub2	255-70-122-242
7235	7.054231390128148e-12	nocladesub10	255-26-209-210
7236	3.657635529918487e-19	nocladesub22	255-101-252-104
7237	2.3261406576716084e-19	nocladesub12	255-122-4-2
7238	1.041286890302402e-18	nocladesub22	255-101-252-104
7239	1.810022478904568e-15	nocladesub20	255-212-231-53
7240	3.881463629992053e-17	nocladesub22	255-101-252-104
7241	2.7375367791593514e-16	nocladesub22	255-101-252-104
7242	5.0464834233550496e-11	nocladesub22	255-101-252-104
7243	3.3619914993194364e-11	nocladesub22	255-101-252-104
7244	4.7984273127266e-08	nocladesub22	255-101-252-104
7245	7.106476510665786e-11	nocladesub22	255-101-252-104
7246	0.0001134563095059	nocladesub22	255-101-252-104
7247	7.276898976157083e-11	nocladesub22	255-101-252-104
7248	0.0363829992129027	nocladesub12	255-122-4-2
7249	1.4494271480561552e-07	nocladesub12	255-122-4-2
7250	0.2783192823894683	nocladesub26	255-217-56-6
7251	1.8420255111114161e-19	nocladesub12	255-122-4-2
7252	2.260491450043549e-15	nocladesub20	255-212-231-53
7253	1.5833036801270237e-18	nocladesub22	255-101-252-104
7254	5.726248513954245e-17	nocladesub22	255-101-252-104
7255	4.837675754942423e-18	nocladesub22	255-101-252-104
7256	8.999391969119464e-19	nocladesub20	255-212-231-53
7257	9.661979360130481e-18	nocladesub22	255-101-252-104
7258	1.023452319018698e-11	nocladesub20	255-212-231-53
7259	7.561630366826631e-20	nocladesub22	255-101-252-104
7260	1.3758926255953458e-22	nocladesub22	255-101-252-104
7261	7.590719712150208e-19	nocladesub22	255-101-252-104
7262	5.912732179748625e-24	nocladesub22	255-101-252-104
7263	1.5668074007252356e-25	nocladesub22	255-101-252-104
7264	8.187821505155237e-24	nocladesub12	255-122-4-2
7265	2.820407353529349e-21	nocladesub22	255-101-252-104
7266	1.7900900683140634e-20	nocladesub22	255-101-252-104
7267	2.787122290258895e-23	nocladesub22	255-101-252-104
7268	2.4929053847706102e-17	nocladesub22	255-101-252-104
7269	1.6301449616499591e-16	nocladesub22	255-101-252-104
7270	1.0746114916648532e-19	nocladesub22	255-101-252-104
7271	2.5977088333748543e-20	nocladesub12	255-122-4-2
7272	1.6453041935793122e-20	nocladesub20	255-212-231-53
7273	3.454777970036612e-18	nocladesub22	255-101-252-104
7274	1.6708983340267569e-22	nocladesub12	255-122-4-2
7275	2.758123831884852e-15	nocladesub22	255-101-252-104
7276	1.9339136436867802e-16	nocladesub12	255-122-4-2
7277	3.843744398547453e-17	nocladesub12	255-122-4-2
7278	2.2074678109156066e-13	nocladesub22	255-101-252-104
7279	2.125755107243395e-13	nocladesub22	255-101-252-104
7280	5.293053320160184e-14	nocladesub22	255-101-252-104
7281	1.1278826401365659e-11	nocladesub22	255-101-252-104
7282	8.774706393334593e-12	nocladesub22	255-101-252-104
7284	2.440131128354458e-09	nocladesub22	255-101-252-104
7285	5.540701209726863e-12	nocladesub22	255-101-252-104
7286	1.4029639931996896e-07	nocladesub22	255-101-252-104
7287	0.001552468772546	nocladesub20	255-212-231-53
7288	0.0006562253637363	nocladesub26	255-217-56-6
7289	0.1730017821351817	nocladesub10	255-26-209-210
7290	0.0004075349397338	nocladesub2	255-70-122-242
7291	0.0010083912062724	nocladesub10	255-26-209-210
7292	0.0559150353111786	nocladesub10	255-26-209-210
7293	2.1057353739640508e-17	nocladesub22	255-101-252-104
7294	2.3686075800783078e-19	nocladesub12	255-122-4-2
7295	1.2137804519039579e-15	nocladesub12	255-122-4-2
7296	2.125755107243395e-13	nocladesub22	255-101-252-104
7297	3.2312338985091574e-16	nocladesub12	255-122-4-2
7298	5.618207191281742e-15	nocladesub22	255-101-252-104
7299	4.2631862075504585e-12	nocladesub12	255-122-4-2
7300	9.953469727138669e-14	nocladesub22	255-101-252-104
7301	4.2631862075504585e-12	nocladesub12	255-122-4-2
7302	5.566499774992509e-14	nocladesub22	255-101-252-104
7303	1.1814944940611878e-10	nocladesub22	255-101-252-104
7304	3.1608045852687403e-14	nocladesub22	255-101-252-104
7305	6.018939785617332e-20	nocladesub12	255-122-4-2
7308	9.203010205187963e-07	nocladesub22	255-101-252-104
7309	0.0466493259846253	nocladesub22	255-101-252-104
7310	0.000559607834819	nocladesub10	255-26-209-210
7311	3.010561258710666e-11	nocladesub12	255-122-4-2
7312	0.0010736269344949	nocladesub22	255-101-252-104
7313	9.258556675996157e-08	nocladesub12	255-122-4-2
7314	6.628951972114003e-10	nocladesub12	255-122-4-2
7315	3.490599873208296e-10	nocladesub22	255-101-252-104
7316	5.0726165565720895e-08	nocladesub22	255-101-252-104
7317	1.9543802180355387e-10	nocladesub22	255-101-252-104
7318	4.818454675665501e-07	nocladesub22	255-101-252-104
7319	0.0012435652334677	nocladesub22	255-101-252-104
7320	0.0005583747947308	nocladesub22	255-101-252-104
7321	0.0004743052990508	nocladesub22	255-101-252-104
7322	8.147913696900533e-07	nocladesub26	255-217-56-6
7323	0.0001912413935895	nocladesub2	255-70-122-242
7324	0.0475665438381768	nocladesub20	255-212-231-53
7325	0.99923173061653	nocladesub2	255-70-122-242
7326	0.127857383224782	nocladesub2	255-70-122-242
7327	0.0023346921893858	nocladesub2	255-70-122-242
7328	0.1169328162404735	nocladesub2	255-70-122-242
7329	0.0032642116705578	nocladesub2	255-70-122-242
7330	0.0058258290278693	nocladesub2	255-70-122-242
7331	2.9652721198863283e-08	nocladesub12	255-122-4-2
7332	0.0097279025390396	clade6sub19	255-254-152-44
7333	0.0093146701063425	clade6sub19	255-254-152-44
7334	6.789816796272653e-08	nocladesub2	255-70-122-242
7335	3.585264568291979e-13	nocladesub12	255-122-4-2
7336	0.0001068531410898	nocladesub20	255-212-231-53
7337	6.817953140718009e-05	nocladesub2	255-70-122-242
7338	2.0141520858198913e-18	nocladesub12	255-122-4-2
7339	2.1449294459528533e-08	nocladesub20	255-212-231-53
7340	2.0126393255911732e-08	nocladesub2	255-70-122-242
7341	1.0942320193625117e-13	nocladesub10	255-26-209-210
7343	1.5006090053307476e-10	nocladesub2	255-70-122-242
7344	1.4494271480561552e-07	nocladesub12	255-122-4-2
7345	0.5851991761377681	nocladesub26	255-217-56-6
7346	0.0467237681207613	nocladesub26	255-217-56-6
7347	7.189335768199946e-14	nocladesub12	255-122-4-2
7348	3.431862071797512e-12	nocladesub12	255-122-4-2
7349	6.300894947812048e-12	nocladesub2	255-70-122-242
7350	2.6839205753360038e-14	nocladesub12	255-122-4-2
7351	6.533958189262292e-12	nocladesub20	255-212-231-53
7352	7.846324462794494e-15	nocladesub12	255-122-4-2
7353	9.35457508840311e-10	nocladesub2	255-70-122-242
7354	0.0009162318017557	nocladesub20	255-212-231-53
7355	0.1284380556086287	clade6sub19	255-254-152-44
7356	6.152357706725016e-12	nocladesub2	255-70-122-242
7357	2.5168655875995415e-13	nocladesub26	255-217-56-6
7358	2.0337097441445118e-11	nocladesub26	255-217-56-6
7359	1.0120441912280194e-12	nocladesub26	255-217-56-6
7360	0.0049693480993041	nocladesub2	255-70-122-242
7361	0.0001555577938494	nocladesub2	255-70-122-242
7362	6.91166678944049e-13	nocladesub2	255-70-122-242
7363	3.769518197722465e-09	nocladesub2	255-70-122-242
7364	1.5921099166136882e-06	nocladesub22	255-101-252-104
7365	4.022446386875919e-06	nocladesub10	255-26-209-210
7366	0.4904463994496148	nocladesub26	255-217-56-6
7367	0.002669871458873	nocladesub10	255-26-209-210
7368	0.0041235659115607	nocladesub2	255-70-122-242
7369	0.1303049660853814	nocladesub10	255-26-209-210
7371	6.613744705878704e-12	nocladesub2	255-70-122-242
7372	1.1565111457159764e-07	nocladesub2	255-70-122-242
7373	1.1488668500718592e-05	nocladesub26	255-217-56-6
7374	1.5956914369132286e-07	nocladesub2	255-70-122-242
7375	0.0003967819558424	clade6sub19	255-254-152-44
7376	9.382083359936768e-07	nocladesub12	255-122-4-2
7377	0.0001948395417254	nocladesub2	255-70-122-242
7378	1.0108336477303538e-17	nocladesub20	255-212-231-53
7379	1.4866674440628541e-18	nocladesub20	255-212-231-53
7380	9.479968372061592e-21	nocladesub12	255-122-4-2
7381	2.049546558333895e-19	nocladesub20	255-212-231-53
7382	0.0002794971699157	nocladesub26	255-217-56-6
7383	3.8434298714362653e-22	nocladesub12	255-122-4-2
7384	3.4618210979095035e-20	nocladesub20	255-212-231-53
7385	1.2148594242489996e-18	nocladesub10	255-26-209-210
7386	2.642751603785872e-21	nocladesub10	255-26-209-210
7387	5.256838672704692e-11	nocladesub12	255-122-4-2
7388	1.0555738176530508e-14	nocladesub12	255-122-4-2
7389	1.723147729011173e-11	nocladesub12	255-122-4-2
7390	6.447191179307206e-14	nocladesub22	255-101-252-104
7391	1.8052691440571525e-22	nocladesub12	255-122-4-2
7392	8.762060834902197e-25	nocladesub12	255-122-4-2
7393	6.829548205965382e-15	nocladesub10	255-26-209-210
7394	1.5705639910917538e-20	nocladesub12	255-122-4-2
7395	2.1552008930557857e-12	nocladesub10	255-26-209-210
7396	2.7976346463039213e-18	nocladesub12	255-122-4-2
7397	9.809450351768912e-05	nocladesub22	255-101-252-104
7398	1.0027318804678102e-17	nocladesub22	255-101-252-104
7399	1.6538386913830906e-09	nocladesub22	255-101-252-104
7400	3.326137060098492e-11	nocladesub12	255-122-4-2
7401	9.562187715248487e-10	nocladesub22	255-101-252-104
7402	2.311699761400278e-09	nocladesub22	255-101-252-104
7403	2.311699761400278e-09	nocladesub22	255-101-252-104
7404	0.0004557538656695	nocladesub12	255-122-4-2
7405	1.3146644000272936e-10	nocladesub2	255-70-122-242
7406	1.5660167488900255e-09	nocladesub2	255-70-122-242
7407	4.933608275876937e-07	nocladesub2	255-70-122-242
7408	0.0001047247036335	nocladesub2	255-70-122-242
7409	3.0888517747550227e-06	nocladesub2	255-70-122-242
7410	6.467192542265434e-06	nocladesub2	255-70-122-242
7411	0.0007342078573142	nocladesub2	255-70-122-242
7412	3.6834946285598864e-05	nocladesub2	255-70-122-242
7413	5.366439190598562e-10	nocladesub2	255-70-122-242
7414	4.372151040879389e-06	nocladesub2	255-70-122-242
7415	0.0004091632352651	nocladesub2	255-70-122-242
7416	0.0008409438858596	nocladesub2	255-70-122-242
7417	5.040961169506282e-20	nocladesub12	255-122-4-2
7418	1.4318684964531876e-14	nocladesub20	255-212-231-53
7419	8.215193335268716e-20	nocladesub12	255-122-4-2
7420	3.936160164773357e-13	nocladesub20	255-212-231-53
7421	1.0247592373243832e-17	nocladesub20	255-212-231-53
7422	3.619801954297013e-21	nocladesub12	255-122-4-2
7423	2.360918329750403e-07	nocladesub20	255-212-231-53
7424	1.0925604611572277e-17	nocladesub20	255-212-231-53
