label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
4683	184.47999572753903	165.59999084472656	82.80000305175781	182.0	162.8	79.5	186.88	167.52	86.30000000000003	107545
4684	185.27999877929688	175.0399932861328	81.5999984741211	183.52	170.8	79.30000000000003	188.08	179.6	84.10000000000002	106724
4893	153.9199981689453	151.83999633789062	86.20000457763672	151.04	149.36	83.10000000000002	156.64	155.68	89.10000000000002	119387
4894	157.9199981689453	152.3199920654297	82.0	152.48	150.56	80.0	162.08	155.44	84.0	104602
4896	158.39999389648438	152.63999938964844	87.0	155.76	150.0	84.60000000000002	160.88	154.72	90.4	92441
4898	161.75999450683594	153.59999084472656	86.20000457763672	158.64	152.08	84.30000000000003	163.76	155.6	91.6	91627
4900	162.72000122070312	144.3199920654297	88.5999984741211	160.96	142.48	84.9	164.32	148.08	90.9	89000
4906	174.39999389648438	152.95999145507812	84.5999984741211	170.48	150.56	82.5	177.28	156.0	87.80000000000003	93157
4909	178.0800018310547	151.36000061035156	86.80000305175781	175.28	147.36	84.0	181.2	154.88	89.4	101684
4964	161.59999084472656	168.8000030517578	84.20000457763672	159.20000000000005	165.92000000000004	80.7	164.16	171.6	86.5	99557
4966	163.36000061035156	165.59999084472656	83.80000305175781	160.72	164.24	80.0	165.68	167.68	86.7	84710
4968	165.59999084472656	168.8000030517578	85.80000305175781	163.28	164.16	83.30000000000003	168.88	172.08	88.80000000000003	107042
4982	179.51998901367188	168.8000030517578	83.80000305175781	177.12	166.72	80.2	182.16	171.52	87.60000000000002	111346
5197	163.67999267578125	159.83999633789062	91.0	160.8	155.92000000000004	88.10000000000002	167.20000000000005	163.20000000000005	93.7	134019
5198	165.1199951171875	148.0	89.80000305175781	163.36	145.28	85.5	166.72	151.44	92.3	112388
5242	166.39999389648438	172.16000366210938	89.80000305175781	163.28	170.4	88.2	170.56	178.88	91.2	124275
5244	171.51998901367188	169.44000244140625	87.5999984741211	169.20000000000005	165.04	85.80000000000003	174.48	171.76	90.3	70376
5248	182.3999938964844	172.0	89.20000457763672	179.68	168.8	86.5	184.64	175.20000000000005	92.5	115804
5249	188.3199920654297	166.55999755859375	88.5999984741211	184.48	164.08	86.30000000000003	191.2	168.96	91.9	109718
5465	157.44000244140625	153.75999450683594	92.5999984741211	152.96	151.20000000000005	90.8	160.24	156.88	94.7	98505
5468	164.3199920654297	157.75999450683594	95.4000015258789	161.28	153.76	92.1	166.72	160.56	97.8	92937
5471	169.27999877929688	151.1999969482422	95.0	166.48	147.92000000000004	92.4	172.0	153.44	97.9	99479
5512	192.1599884033203	168.63999938964844	97.4000015258789	188.08	166.56	94.1	194.48	170.8	98.6	85295
5753	184.8000030517578	175.0399932861328	97.0	183.28	172.8	95.0	187.12	179.20000000000005	99.3	67464
5754	187.1999969482422	177.1199951171875	101.0	185.2	172.8	99.4	189.84	180.72	104.6	102887
5756	192.47999572753903	170.39999389648438	100.4000015258789	188.56	167.12	98.5	195.44	172.4	103.1	96115
5758	197.44000244140625	171.83999633789062	100.0	194.0	169.76	97.0	200.16	175.52	102.9	130968
5807	147.52000427246094	208.1599884033203	100.4000015258789	140.0	205.44	95.7	149.44	210.96	102.5	114839
5948	160.47999572753906	158.55999755859375	105.5999984741211	157.68	156.56	101.9	163.04	162.56	108.5	106860
5949	165.59999084472656	159.1999969482422	104.8000030517578	161.76	156.72	101.6	169.12	161.68	107.1	121301
5950	163.83999633789062	150.39999389648438	106.5999984741211	160.96	148.08	104.5	167.20000000000005	154.72	109.3	120568
5951	165.27999877929688	163.67999267578125	105.4000015258789	163.12	161.52	102.8	168.96	167.04	108.3	121227
5952	169.75999450683594	146.55999755859375	105.20000457763672	167.6	143.44	102.7	173.12	149.6	108.3	113758
5953	171.1999969482422	152.0	105.0	169.04	148.24	101.4	173.76	155.28	107.1	123745
5998	172.0	169.1199951171875	104.8000030517578	170.4	164.64	100.9	177.28	171.44	106.7	109988
6000	174.239990234375	171.36000061035156	107.0	171.92000000000004	167.28	101.9	177.28	173.52	108.9	120348
6004	184.47999572753903	174.72000122070312	106.20000457763672	181.92	170.96	103.8	186.8	177.28	108.0	96765
6012	193.44000244140625	171.83999633789062	108.0	189.84	169.36	104.8	195.52	173.44	110.3	86776
6198	164.0	159.83999633789062	110.8000030517578	161.68	156.64	106.5	167.84	161.92000000000004	112.8	109128
6201	171.51998901367188	150.239990234375	109.5999984741211	169.04	147.28	107.3	174.88	154.0	111.5	93909
