label_id	aka	comment	source_file	first_node_zyx_nm	n_nodes	nmx_in_traces	nmx_in_data	cell_group_dir	min_dist_nucleus_um	closest_nucleus_id	in_platybrowser
102	133.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	143298|125188|132691	146	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.93	7661	True
103	132.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	143373|124860|132356	132	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	2.66	8205	True
104	135.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	143448|125488|132421	184	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	0.53	7403	True
105	134.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	143548|125274|132537	96	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	2.15	7275	True
106	137.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	143659|124211|132133	137	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.68	7049	True
107	12.001	non-commissural: Dbx neuron chain	commissural_all_comm_sec_seg.nmx	143750|91638.3|148785	62	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	0.69	7860	False
108	11.001	non-commissural: Dbx neuron chain	commissural_all_comm_sec_seg.nmx	143750|92085.5|142914	131	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	1.71	7558	False
109	10.001	non-commissural: Dbx neuron chain	commissural_all_comm_sec_seg.nmx	143750|94956.8|145192	205	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	0.07	7284	False
110	9.001	non-commissural: Dbx neuron chain	commissural_all_comm_sec_seg.nmx	143750|95790.7|141772	37	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	0.95	7396	False
111	13.001	non-commissural: Dbx neuron chain	commissural_all_comm_sec_seg.nmx	143750|97655.7|147432	661	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	0.45	6607	False
112	8.001	non-commissural: Dbx neuron chain	commissural_all_comm_sec_seg.nmx	143800|98700.5|138719	130	commissural/all/comm_sec_seg.nmx	data/data_Tracing/commissural/all/comm_sec_seg.nmx	commissural	0.88	7245	False
113	122.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	143939|123606|132314	371	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.22	7440	True
114	121.2	commissural (finished group)	commissural_all_comm_sec_seg.001.nmx	144014|123688|132581	265	commissural/all/comm_sec_seg.001.nmx	data/data_Tracing/commissural/all/comm_sec_seg.001.nmx	commissural	1.17	7657	True
