label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	in_platybrowser_0_1	origin_dir
270	118.19	109.30	184.24	103.26	100.57	111.93	220.99	141.57	137.08	583	0	commissural
271	116.88	110.22	197.20	197.20	104.70	112.44	218.20	110.30	116.88	130	0	commissural
272	119.68	106.14	199.45	163.52	84.37	109.84	200.48	122.71	123.63	292	0	david
273	90.87	105.85	201.10	201.10	105.85	90.87	206.90	118.29	117.21	49	0	david
274	101.78	83.21	205.55	205.55	83.21	101.78	210.80	99.14	119.97	44	0	david
275	89.40	98.59	206.28	205.60	92.11	89.40	212.50	103.01	105.24	17	0	david
276	96.53	94.94	207.51	207.51	94.94	96.53	214.49	104.69	115.54	26	0	david
277	97.03	94.75	208.03	157.78	77.77	97.03	208.03	105.52	128.11	109	0	david
278	100.31	82.00	208.43	205.00	78.80	98.75	211.15	85.97	105.42	22	0	david
279	104.39	80.23	209.90	209.90	80.23	104.39	214.71	104.84	123.18	64	0	david
280	91.03	96.91	211.20	157.78	77.77	87.24	216.53	105.52	128.11	124	0	david
281	108.52	78.39	238.50	231.07	78.39	102.86	239.21	96.66	111.93	52	0	david
282	115.13	78.00	241.22	228.37	78.00	103.35	241.22	100.18	115.13	56	0	david
283	111.76	73.96	241.35	241.35	73.96	111.76	241.35	81.54	117.91	13	0	david
284	96.23	95.14	243.12	236.13	88.23	96.23	243.12	95.14	108.29	28	0	david
