label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	n_traces	trust	nucleus_id	traces
20030	133.15	133.33	95.42	130.20	132.29	95.42	136.16	150.36	105.40	278	1	none	0	30
20032	138.68	130.50	99.05	129.36	122.39	43.56	167.19	145.46	111.47	1814	1	none	0	32
20033	138.05	131.49	99.20	130.15	125.68	94.88	143.46	140.51	144.90	852	1	none	0	33
20037	138.49	131.53	99.55	138.10	112.85	88.72	154.44	153.91	103.08	850	1	none	0	37
20038	138.01	131.65	100.03	135.30	127.58	98.42	147.95	155.69	111.12	482	1	none	0	38
20039	138.23	132.19	100.03	134.20	127.60	40.45	152.50	160.59	101.80	1084	1	none	0	39
20040	138.71	131.31	101.03	136.09	122.22	53.48	166.53	148.45	126.33	1164	1	none	0	40
20041	138.50	131.82	101.03	137.14	111.97	94.53	155.15	144.43	101.35	508	1	none	0	41
20042	138.20	134.69	101.08	134.20	127.60	40.45	152.50	160.59	102.32	936	1	none	0	42
20044	138.11	131.35	101.48	133.44	118.03	58.27	213.74	188.87	103.75	1580	1	none	0	44
20045	138.76	132.39	102.83	134.58	113.55	73.40	157.83	163.11	105.98	780	1	none	0	45
20055	135.24	127.47	134.69	132.67	113.61	130.34	148.33	130.15	143.36	160	1	none	0	55
20056	135.66	126.34	135.29	126.09	105.09	131.28	155.84	139.48	156.09	382	1	none	0	56
20060	135.11	126.30	136.09	108.92	115.92	136.09	139.23	133.64	148.75	274	1	none	0	60
20063	135.54	126.73	136.44	116.05	107.12	135.19	146.75	146.44	148.89	344	1	none	0	63
20064	135.51	126.17	136.99	124.45	112.22	135.41	146.70	144.09	144.35	278	1	none	0	64
20065	135.85	126.57	137.19	114.04	119.39	120.01	145.55	145.19	139.67	364	1	none	0	65
20066	135.37	126.24	137.29	130.93	115.60	132.81	141.62	132.24	138.62	214	1	none	0	66
20067	135.39	124.93	139.04	134.36	100.20	133.87	154.65	128.23	140.16	224	1	none	0	67
20068	132.41	127.56	140.62	127.79	108.02	140.17	154.16	133.22	146.74	154	1	none	0	68
